label,content
__problem__,"为了上通识，专业课申请免修不免考，认真的
"
__noproblem__,"私戳
"
__problem__," 怎么去北京
"
__noproblem__,"你们的好像已经建了
"
__problem__,"这个怎么回答。。看你自己感兴趣的方向咯……
"
__noproblem__,"好的！
"
__problem__,"哪里有信纸卖呀还有、在哪寄信
"
__noproblem__,"看不看不重要
"
__problem__,"，学校是先军训还是先英语考试
"
__noproblem__,"大家自己可以选择
"
__problem__," 要我带你吗神仙姐姐
"
__noproblem__,"
"
__problem__,"给我来个哈勃望远镜
"
__noproblem__,"大家好，我是GuoGuo。
"
__problem__,"请问之前的打卡没被清零是怎么回事
"
__noproblem__," 他本来就是秃子
"
__problem__,"(我不知道你是不是问这个意思
"
__noproblem__,"怕了
"
__problem__,"相似度75是没过吗
"
__noproblem__,"@一下芳姐，，
"
__problem__,"扫毒是什么 
"
__noproblem__,"团契的定义：
"
__problem__,"二班的学生手册在哪里
"
__noproblem__,"或者天下潮问
"
__problem__,"宿舍没有wifi吗
"
__noproblem__,"梧桐
"
__problem__,"你们没有老师去你们那要人吗
"
__noproblem__,"或者你可以百度，网线是什么，而且我都说了写着视频连接线，视频连接线当然不是用来上网的了……
"
__problem__,"今年迎新不是和系庆是同一个晚会吗
"
__noproblem__,"问一下哪有卖砂纸呢
"
__problem__,"有没有马克思主义原理的复习资料啊
"
__noproblem__,"有
"
__problem__,"再压抑能有活着压抑
"
__noproblem__,"我也觉得过了
"
__problem__,"黄黄是谁
"
__noproblem__,"有口皆碑
"
__problem__,"节操舞领头人吗
"
__noproblem__,"99
"
__problem__,"请问图书馆的书续借时间是多久
"
__noproblem__,"（学长说的）
"
__problem__," 综评不可以参加二招吗[CQ:sface,id=720931]……
"
__noproblem__,"好的
"
__problem__,"请问我买了9月30号的学生票，但是我没有学生证
"
__noproblem__,"各有各的说法
"
__problem__,"！
"
__noproblem__,"……
"
__problem__,"不会被退回吗
"
__noproblem__,"二次选拔
"
__problem__,"经济情况调查表上到学号是
"
__noproblem__,"我哭了
"
__problem__,"为什么南方也有大澡堂
"
__noproblem__,"我也老了
"
__problem__,"今年宿舍咋组有官方消息了吗
"
__noproblem__,"尴尬
"
__problem__,"请问宇宙简史网课有群吗/幽灵/幽灵
"
__noproblem__,"结果他把桌上的也藏起来了，还不理我了
"
__problem__," 为什么呢
"
__noproblem__,"但是！关系到了哲学
"
__problem__," 不是可以修12门算四个学分吗/斜眼笑
"
__noproblem__,"我穿着白衣服
"
__problem__,"高年级可以选低年级的课吗
"
__noproblem__,"嗯
"
__problem__,"二组团有实景吗
"
__noproblem__,"小孩子才做选择
"
__problem__,"抽烟的多吗
"
__noproblem__,"谢谢
"
__problem__,"天台风大吗
"
__noproblem__,"教谁
"
__problem__,"苏大，正方还是新正方
"
__noproblem__,"/幽灵可能与到南京远近有关
"
__problem__,"后面就没时间了吗(°ー°〃)
"
__noproblem__,"南京市开学典礼
"
__problem__,"逸夫楼对吧我找找
"
__noproblem__,"Soga
"
__problem__,"那楼上会唱歌吗
"
__noproblem__,"emm
"
__problem__,"请问下校园卡在哪补办呀
"
__noproblem__," 那得同情一下了。
"
__problem__,"计科没多少女生吧
"
__noproblem__,"。。。。
"
__problem__,"接站学长们紫色衣服
"
__noproblem__,"fwltql
"
__problem__,"有人划个重点吗
"
__noproblem__,"正常使用5h
"
__problem__,"人数没有超过限额的课一定能选上是吗/小纠结
"
__noproblem__,"物理也不一定一直搞研究
"
__problem__,"那可以买来自己装吗
"
__noproblem__,"对的
"
__problem__,"可以进去吗
"
__noproblem__,"嗯嗯
"
__problem__,"自己买自己有意思嘛！
"
__noproblem__,"SB2反手一套带走/幽灵
"
__problem__,"请问这学期暑假留宿搬宿舍的通知出来了吗
"
__noproblem__,"同学都进了匡院
"
__problem__,"百度是啥
"
__noproblem__,"又是这张
"
__problem__,"双体系体验不怎么样
"
__noproblem__," 学妹
"
__problem__,"主要是医生要换木椅子，，所以把握不好规格，，坐垫离地43cm可以吗[CQ:face,id=32]
"
__noproblem__,"啊
"
__problem__,"请问一下用买高铁学生票用的学生证是什么样的
"
__noproblem__,"麻烦问一下，
"
__problem__," 学长 那那那 你是不是很好看呀
"
__noproblem__,"上学期 大学英语一，下学期 大学英语二
"
__problem__,"敲水管交流
"
__noproblem__,"明白
"
__problem__,"学化学会秃吗
"
__noproblem__,"中秋操场好多人啊
"
__problem__," [CQ:emoji,id=127773]请教一下这是为什么
"
__noproblem__,"(挖煤)
"
__problem__,"所以一直女装
"
__noproblem__,"迎新系统请用电脑登录
"
__problem__,"食堂怎么样呢
"
__noproblem__,"我觉得一般男生都找学姐
"
__problem__,"一定要选跨专业的课吗
"
__noproblem__,"里面几乎人人都是日语大手子
"
__problem__,"/托腮校学生会新媒体有公众号   qq什么的吗
"
__noproblem__,"传奇人士
"
__problem__,"还有吗
"
__noproblem__,"[CQ:face,id=67]
"
__problem__,"请问有国际会议中心的联系方式吗
"
__noproblem__,"wa
"
__problem__,"什么方面的要记笔记吗/笑哭
"
__noproblem__,"快别说了！
"
__problem__,"讲的不错（虽然没怎么听）
"
__noproblem__,"我输了好几遍
"
__problem__,"弱弱问一句…这个群可以水吗
"
__noproblem__,"&#91;QQ红包&#93;请使用新版手机QQ查收红包。
"
__problem__,"为啥厕所有电/笑哭/笑哭
"
__noproblem__,"哦哦不用 一会才到呢
"
__problem__,"这么强杨新会不说
"
__noproblem__,"  您抽到了第190签：事迷心不迷，事宽心不宽，一场欢喜会，不久出重关。
"
__problem__,"你叫我
"
__noproblem__,"群文件有
"
__problem__,"做志愿有钱拿吗
"
__noproblem__,"现在你们可以登录的是迎新网
"
__problem__,"请问学期测试在本群的哪个文件夹
"
__noproblem__,"苏苏
"
__problem__," 快递地址这样写会寄到快递街
"
__noproblem__,"金色飞贼
"
__problem__," 嗯哼
"
__noproblem__,"不知道啊，我的动态里只有两种人，一种是因为数学掉头发的，一种是因为工程制图掉头发的
"
__problem__,"一直都有
"
__noproblem__,"不习惯的话就先去隔间啊（虽然不知道有没有）
"
__problem__,"电教室呢在哪里
"
__noproblem__,"避免大家考完四级就不学英语了
"
__problem__,"请问有这个课的同学吗
"
__noproblem__,"五栋楼下三家都有
"
__problem__,"招办电话为什么是空号
"
__noproblem__,"没错
"
__problem__,"学校附近是只有工行吗
"
__noproblem__,"我看看
"
__problem__,"孔敏老师
"
__noproblem__,"是的 没事
"
__problem__,"录取通知书是什么时候收走的
"
__noproblem__,"把你照片给我我给你介绍
"
__problem__,"三卷握个手
"
__noproblem__,"哇，还会退啊，好的谢谢
"
__problem__," 右侧进去是从右侧的一个门进去吗
"
__noproblem__,"  第&#91;305&#93;签 解签：好花不常开，一旦处於绝佳之境，宜淡然处之，并另谋良图。
"
__problem__,"学长学姐们，我想问一下为啥南大的慕课打不开
"
__noproblem__,"这样误会了搞得好多话都用在不必要的解释上了吧
"
__problem__,"迎新网上的
"
__noproblem__,"这样不打扰大家
"
__problem__,"蟑螂请蜈蚣到家中作客，发现没有油了，蜈蚣要去买，却久久未回，究竟发生了什么事
"
__noproblem__,"加1
"
__problem__,"25号可以吗
"
__noproblem__,"  您抽到了第5签：春雷震，夏风巽，卧龙起，猛虎惊，风云会合，救济苍生。
"
__problem__,"你说啥（
"
__noproblem__," 学电子竞技
"
__problem__,"想请问一下，实习推荐书是需要自己拟好了交由学校盖章，还是由学校那边开具呢
"
__noproblem__,"当然能
"
__problem__,"要自己点吗
"
